Id;MSSubClass;MSZoning;Neighborhood;OverallQual;RoofStyle;BsmtQual;HeatingQC;CentralAir;1stFlrSF;GrLivArea;BsmtFullBath;KitchenQual;GarageType;GarageFinish;GarageCars;PavedDrive;SalePrice
26;20;RL;NridgHt;8;Gable;Gd;Ex;Y;1600;1600;0;Gd;Attchd;RFn;3;Y;256300
27;20;RL;NAmes;5;Gable;TA;TA;Y;900;900;0;Gd;Detchd;Unf;2;Y;134800
28;20;RL;NridgHt;8;Gable;Ex;Ex;Y;1704;1704;1;Gd;Attchd;RFn;3;Y;306000
29;20;RL;NAmes;5;Gable;TA;TA;Y;1600;1600;1;TA;Attchd;RFn;1;Y;207500
30;30;RM;BrkSide;4;Gable;TA;Fa;N;520;520;0;Fa;Detchd;Unf;1;Y;68500
31;70;C (all);IDOTRR;4;Gambrel;TA;TA;N;649;1317;0;TA;Detchd;Unf;1;N;40000
32;20;RL;Sawyer;5;Gable;TA;Gd;Y;1228;1228;0;Gd;Attchd;Unf;1;Y;149350
33;20;RL;CollgCr;8;Gable;Ex;Ex;Y;1234;1234;0;Gd;Attchd;RFn;2;Y;179900
34;20;RL;NAmes;5;Hip;TA;Gd;Y;1700;1700;0;Gd;Attchd;RFn;2;Y;165500
35;120;RL;NridgHt;9;Hip;Ex;Ex;Y;1561;1561;1;Ex;Attchd;Fin;2;Y;277500
36;60;RL;NridgHt;8;Gable;Ex;Ex;Y;1132;2452;0;Gd;BuiltIn;Fin;3;Y;309000
37;20;RL;CollgCr;5;Gable;Gd;Ex;Y;1097;1097;0;TA;Attchd;Unf;2;Y;145000
38;20;RL;NAmes;5;Hip;TA;Gd;Y;1297;1297;0;TA;Attchd;Fin;2;Y;153000
39;20;RL;NAmes;5;Gable;TA;TA;Y;1057;1057;1;Gd;Detchd;Unf;1;Y;109000
40;90;RL;Edwards;4;Gable;;TA;N;1152;1152;0;Fa;;;0;N;82000
41;20;RL;NAmes;6;Gable;TA;Ex;Y;1324;1324;0;TA;Attchd;RFn;2;Y;160000
42;20;RL;Timber;5;Gable;TA;Gd;Y;1328;1328;0;TA;Attchd;RFn;1;P;170000
43;85;RL;SawyerW;5;Gable;Gd;Gd;Y;884;884;1;Gd;Attchd;RFn;2;Y;144000
44;20;RL;CollgCr;5;Hip;Gd;TA;Y;938;938;1;TA;Detchd;Unf;1;Y;130250
45;20;RL;NAmes;5;Gable;TA;Ex;Y;1150;1150;1;TA;Attchd;RFn;1;Y;141000
46;120;RL;NridgHt;9;Hip;Ex;Ex;Y;1752;1752;1;Ex;Attchd;RFn;2;Y;319900
47;50;RL;Mitchel;7;Gable;Ex;Ex;Y;1518;2149;1;Gd;Attchd;RFn;2;Y;239686
48;20;FV;Somerst;8;Gable;Gd;Ex;Y;1656;1656;0;Gd;Attchd;RFn;3;Y;249700
49;190;RM;OldTown;4;Gable;TA;Gd;Y;736;1452;0;TA;;;0;N;113000
50;20;RL;Sawyer;5;Gable;TA;Ex;Y;955;955;1;TA;Attchd;Unf;1;Y;127000
51;60;RL;Gilbert;6;Gable;Gd;Gd;Y;794;1470;0;TA;Attchd;Fin;2;Y;177000
52;50;RM;BrkSide;6;Gable;TA;TA;Y;816;1176;0;TA;Detchd;Unf;2;Y;114500
53;90;RM;IDOTRR;5;Gable;Gd;TA;N;816;816;1;TA;CarPort;Unf;2;Y;110000
54;20;RL;Veenker;9;Gable;Ex;Gd;Y;1842;1842;2;Gd;Attchd;Fin;3;Y;385000
55;80;RL;NAmes;5;Gable;TA;TA;Y;1360;1360;0;TA;Detchd;Unf;2;Y;130000
56;20;RL;NAmes;6;Gable;TA;Gd;Y;1425;1425;0;TA;Attchd;RFn;2;Y;180500
57;160;FV;Somerst;8;Gable;Gd;Ex;Y;983;1739;1;Gd;Attchd;Fin;2;Y;172500
58;60;RL;CollgCr;7;Gable;Gd;Ex;Y;860;1720;0;Gd;Attchd;RFn;2;Y;196500
59;60;RL;StoneBr;10;Hip;Ex;Ex;Y;1426;2945;0;Gd;BuiltIn;Fin;3;Y;438780
60;20;RL;CollgCr;5;Gable;TA;Ex;Y;780;780;0;TA;Detchd;Unf;1;Y;124900
61;20;RL;SawyerW;6;Gable;Gd;Ex;Y;1158;1158;1;Gd;Detchd;Unf;2;Y;158000
62;75;RM;IDOTRR;5;Gable;TA;TA;N;581;1111;0;Fa;Detchd;Unf;1;N;101000
63;120;RL;NridgHt;8;Gable;Gd;Ex;Y;1370;1370;0;Gd;Attchd;RFn;2;Y;202500
64;70;RM;OldTown;7;Gable;TA;Gd;Y;902;1710;0;TA;Detchd;Unf;2;Y;140000
65;60;RL;CollgCr;7;Gable;Gd;Ex;Y;1057;2034;1;Gd;Attchd;RFn;2;Y;219500
66;60;RL;NridgHt;8;Gable;Ex;Ex;Y;1143;2473;0;Gd;BuiltIn;RFn;3;Y;317000
67;20;RL;NAmes;7;Gable;Gd;TA;Y;2207;2207;1;TA;Attchd;RFn;2;Y;180000
68;20;RL;CollgCr;7;Gable;Gd;Ex;Y;1479;1479;1;Gd;Attchd;RFn;2;Y;226000
69;30;RM;OldTown;4;Gable;TA;TA;Y;747;747;0;TA;Attchd;Unf;1;Y;80000
70;50;RL;ClearCr;7;Gable;TA;TA;Y;1304;2287;0;TA;Attchd;Fin;2;Y;225000
71;20;RL;NAmes;7;Gable;Gd;Ex;Y;2223;2223;1;TA;Attchd;Fin;2;Y;244000
72;20;RL;Mitchel;4;Gable;TA;TA;Y;845;845;1;TA;Detchd;Unf;2;Y;129500
73;60;RL;Gilbert;7;Gable;Gd;Gd;Y;885;1718;0;TA;Attchd;Fin;2;Y;185000
74;20;RL;NAmes;5;Gable;TA;Gd;Y;1086;1086;1;TA;Attchd;Unf;2;Y;144900
75;50;RM;OldTown;3;Gambrel;Fa;Gd;N;840;1605;0;TA;Detchd;Unf;1;Y;107400
76;180;RM;MeadowV;4;Gable;Gd;TA;Y;526;988;1;TA;BuiltIn;Unf;1;Y;91000
77;20;RL;NAmes;4;Gable;TA;Ex;Y;952;952;0;TA;Detchd;Unf;1;Y;135750
78;50;RM;BrkSide;5;Gable;TA;TA;Y;1072;1285;1;TA;Detchd;Unf;1;Y;127000
79;90;RL;Sawyer;4;Hip;TA;TA;N;1768;1768;0;TA;;;0;Y;136500
80;50;RM;OldTown;5;Gable;TA;Gd;Y;682;1230;0;TA;Detchd;Unf;2;Y;110000
81;60;RL;NAmes;6;Gable;Gd;TA;Y;1182;2142;0;Gd;Attchd;Fin;1;Y;193500
82;120;RM;Mitchel;6;Hip;Ex;Ex;Y;1337;1337;1;TA;Attchd;Fin;2;Y;153500
83;20;RL;Somerst;8;Gable;Gd;Ex;Y;1563;1563;0;Gd;Attchd;RFn;3;Y;245000
84;20;RL;NAmes;5;Gable;TA;Gd;Y;1065;1065;0;TA;Detchd;Unf;2;Y;126500
85;80;RL;Gilbert;7;Gable;Gd;Gd;Y;804;1474;0;TA;BuiltIn;Fin;2;Y;168500
86;60;RL;NoRidge;8;Hip;Gd;Ex;Y;1301;2417;0;Gd;Attchd;Unf;2;Y;260000
87;60;RL;Gilbert;6;Gable;Gd;Ex;Y;684;1560;0;Gd;BuiltIn;Fin;2;Y;174000
88;160;FV;Somerst;6;Gable;Gd;Ex;Y;612;1224;0;Gd;Detchd;RFn;2;Y;164500
89;50;C (all);IDOTRR;3;Hip;TA;TA;N;1013;1526;0;Fa;;;0;N;85000
90;20;RL;CollgCr;4;Gable;Gd;Ex;Y;990;990;1;TA;;;0;Y;123600
91;20;RL;NAmes;4;Gable;;TA;Y;1040;1040;0;TA;Detchd;Unf;2;Y;109900
92;20;RL;NAmes;5;Hip;TA;TA;Y;1235;1235;0;TA;Attchd;Unf;2;Y;98600
93;30;RL;Crawfor;5;Gable;Gd;Ex;Y;964;964;1;TA;Detchd;Unf;2;Y;163500
94;190;C (all);OldTown;6;Hip;TA;Ex;N;1260;2291;0;TA;Detchd;Unf;2;Y;133900
95;60;RL;CollgCr;6;Gable;Gd;Ex;Y;905;1786;1;Gd;Attchd;RFn;2;Y;204750
96;60;RL;Gilbert;6;Gable;Gd;Gd;Y;680;1470;0;TA;BuiltIn;Fin;2;Y;185000
97;20;RL;CollgCr;7;Gable;Gd;Ex;Y;1588;1588;0;Gd;Attchd;RFn;2;Y;214000
98;20;RL;Edwards;4;Hip;TA;TA;Y;960;960;1;TA;Attchd;Fin;1;P;94750
99;30;RL;Edwards;5;Gable;TA;Fa;N;835;835;0;TA;Basment;Unf;1;Y;83000
100;20;RL;NAmes;4;Gable;TA;Fa;Y;1225;1225;1;TA;;;0;Y;128950
101;20;RL;NWAmes;6;Gable;TA;Gd;Y;1610;1610;1;Gd;Attchd;RFn;2;Y;205000
102;60;RL;SawyerW;6;Gable;Gd;TA;Y;977;1732;0;Gd;Attchd;Fin;2;Y;178000
103;90;RL;SawyerW;5;Gable;;TA;Y;1535;1535;0;TA;Attchd;Unf;2;Y;118964
104;20;RL;CollgCr;7;Gable;Gd;Ex;Y;1226;1226;0;Gd;Attchd;RFn;3;Y;198900
105;50;RM;IDOTRR;7;Gable;TA;Ex;Y;1226;1818;0;TA;Detchd;Unf;1;Y;169500
106;60;FV;Somerst;8;Hip;Ex;Ex;Y;1053;1992;0;Gd;Attchd;RFn;2;Y;250000
107;30;RM;OldTown;4;Mansard;Fa;Gd;Y;1047;1047;0;TA;Detchd;Unf;1;N;100000
108;20;RM;OldTown;5;Gable;TA;Ex;Y;789;789;0;TA;Detchd;Unf;1;Y;115000
109;50;RM;IDOTRR;5;Gable;TA;TA;N;997;1517;0;Fa;;;0;N;115000
110;20;RL;NWAmes;6;Hip;Gd;Ex;Y;1844;1844;0;TA;Attchd;RFn;2;Y;190000
111;50;RL;Edwards;6;Gable;TA;Gd;Y;1216;1855;0;TA;Attchd;Unf;1;Y;136900
112;80;RL;Gilbert;7;Gable;Gd;Ex;Y;774;1430;0;TA;BuiltIn;Fin;2;Y;180000
113;60;RL;CollgCr;7;Gable;Ex;Ex;Y;1282;2696;1;Ex;BuiltIn;Fin;3;Y;383970
114;20;RL;Crawfor;6;Hip;Gd;TA;Y;2259;2259;1;Gd;Basment;Unf;2;Y;217000
115;70;RL;Crawfor;6;Gambrel;TA;Ex;Y;1436;2320;1;Gd;Detchd;Unf;1;Y;259500
116;160;FV;Somerst;6;Gable;Gd;Gd;Y;729;1458;0;TA;Detchd;Unf;2;Y;176000
117;20;RL;Sawyer;5;Gable;TA;TA;Y;1092;1092;0;TA;Attchd;Unf;1;Y;139000
118;20;RL;Edwards;5;Gable;Gd;Gd;Y;1125;1125;0;TA;Attchd;Unf;2;Y;155000
119;60;RL;SawyerW;7;Hip;Gd;Gd;Y;1699;3222;1;Gd;Attchd;Unf;3;Y;320000
120;60;RL;CollgCr;6;Gable;Gd;Ex;Y;728;1456;0;Gd;Attchd;Fin;2;Y;163990
121;80;RL;ClearCr;6;Flat;TA;Ex;Y;988;988;1;TA;Attchd;Unf;2;Y;180000
122;50;RM;IDOTRR;4;Gable;TA;Gd;Y;772;1123;0;TA;Detchd;Unf;1;P;100000
123;20;RL;NAmes;6;Hip;TA;Gd;Y;1080;1080;0;TA;Attchd;Unf;1;Y;136000
124;120;RL;SawyerW;6;Gable;Gd;Ex;Y;1199;1199;0;Gd;Attchd;RFn;2;Y;153900
125;20;RL;NWAmes;6;Gable;Gd;TA;Y;1586;1586;0;TA;Attchd;Unf;2;Y;181000
126;190;RM;IDOTRR;6;Gable;TA;Gd;N;520;754;1;TA;;;0;N;84500
127;120;RL;NPkVill;6;Gable;Gd;TA;Y;958;958;0;TA;Attchd;RFn;2;Y;128000
128;45;RM;OldTown;5;Gable;TA;Ex;Y;840;840;0;TA;;;0;N;87000
129;60;RL;NAmes;6;Gable;TA;TA;Y;660;1348;0;TA;Attchd;RFn;2;Y;155000
130;20;RL;NAmes;5;Gable;TA;TA;Y;1053;1053;0;Ex;2Types;RFn;2;Y;150000
131;60;RL;NAmes;7;Gable;TA;Ex;Y;1216;2157;0;Gd;Attchd;Fin;2;Y;226000
132;60;RL;Gilbert;6;Gable;Gd;Ex;Y;1022;2054;1;Gd;BuiltIn;RFn;2;Y;244000
133;20;RL;NAmes;5;Gable;TA;Gd;Y;1327;1327;1;Gd;Detchd;Unf;2;Y;150750
134;20;RL;Timber;8;Gable;Ex;Ex;Y;1296;1296;1;Gd;Attchd;Fin;2;Y;220000
135;20;RL;Sawyer;5;Gable;TA;Gd;Y;1721;1721;0;TA;Attchd;RFn;2;Y;180000
136;20;RL;NWAmes;7;Hip;TA;Gd;Y;1682;1682;0;TA;Attchd;Unf;2;Y;174000
137;20;RL;NAmes;5;Gable;TA;TA;Y;1214;1214;0;TA;Attchd;RFn;1;Y;143000
138;90;RL;Mitchel;7;Gable;TA;Gd;Y;1959;1959;0;TA;2Types;Unf;3;Y;171000
139;60;RL;CollgCr;8;Gable;Gd;Ex;Y;1004;1852;0;Gd;Attchd;Fin;3;Y;230000
140;60;RL;CollgCr;6;Gable;Gd;Ex;Y;928;1764;1;Gd;Attchd;RFn;2;Y;231500
141;20;RL;NAmes;4;Gable;TA;TA;Y;864;864;0;TA;;;0;Y;115000
142;20;RL;CollgCr;7;Gable;Gd;Ex;Y;1734;1734;1;Gd;Attchd;Fin;2;Y;260000
143;50;RL;NAmes;5;Gable;TA;Fa;Y;910;1385;0;TA;Detchd;Unf;2;Y;166000
144;20;RL;CollgCr;7;Gable;Gd;Ex;Y;1501;1501;1;Gd;Attchd;RFn;2;Y;204000
145;90;RM;Sawyer;5;Gable;TA;TA;Y;1728;1728;1;TA;Detchd;Unf;2;Y;125000
146;160;RM;Edwards;6;Gable;Gd;Ex;Y;970;1709;0;Gd;Detchd;Unf;2;Y;130000
147;30;RM;BrkSide;5;Gable;TA;TA;Y;875;875;1;TA;Detchd;Unf;1;Y;105000
148;60;RL;Gilbert;7;Gable;Gd;Ex;Y;884;2035;0;Gd;BuiltIn;Fin;2;Y;222500
149;20;RL;SawyerW;7;Gable;Gd;Ex;Y;1080;1080;1;Gd;;;0;Y;141000
150;50;RM;BrkSide;5;Gable;Gd;Gd;Y;896;1344;0;TA;Detchd;Unf;1;Y;115000
151;20;RL;CollgCr;5;Gable;TA;TA;Y;969;969;0;TA;Attchd;Unf;2;Y;122000
152;20;RL;NridgHt;8;Hip;Ex;Ex;Y;1710;1710;1;Gd;Attchd;RFn;3;Y;372402
153;60;RL;NWAmes;6;Gable;TA;Gd;Y;1097;1993;0;TA;Attchd;RFn;2;Y;190000
154;20;RL;ClearCr;6;Flat;Gd;Gd;Y;1252;1252;1;TA;Attchd;RFn;2;Y;235000
155;30;RM;OldTown;6;Gable;TA;TA;Y;1200;1200;0;TA;Detchd;Unf;1;Y;125000
156;50;RL;Edwards;6;Gable;TA;Fa;N;572;1096;0;TA;;;0;N;79000
157;20;RL;NAmes;5;Hip;;TA;Y;1040;1040;0;TA;Detchd;Unf;2;Y;109500
158;60;RL;Timber;8;Gable;Ex;Ex;Y;774;1968;0;Ex;BuiltIn;Fin;3;Y;269500
159;60;FV;Somerst;7;Gable;Gd;Ex;Y;991;1947;0;Gd;Attchd;RFn;2;Y;254900
160;60;RL;Gilbert;7;Gable;Gd;Ex;Y;1392;2462;1;Gd;Attchd;RFn;2;Y;320000
161;20;RL;Veenker;6;Gable;Gd;TA;Y;1232;1232;0;TA;Attchd;Unf;2;Y;162500
162;60;RL;NridgHt;9;Gable;Ex;Ex;Y;1572;2668;1;Ex;BuiltIn;Fin;3;Y;412500
163;20;RL;NridgHt;7;Gable;Gd;Ex;Y;1541;1541;0;Gd;Attchd;RFn;2;Y;220000
164;45;RL;OldTown;4;Gable;TA;Ex;Y;882;882;0;TA;;;0;Y;103200
165;40;RM;OldTown;6;Gable;TA;Gd;Y;1149;1616;0;Gd;Detchd;Unf;1;Y;152000
166;190;RL;Edwards;5;Gable;TA;Gd;Y;808;1355;1;TA;;;0;Y;127500
167;20;RL;ClearCr;5;Hip;TA;Ex;Y;1867;1867;1;TA;Attchd;Fin;1;Y;190000
168;60;RL;NridgHt;8;Gable;Ex;Ex;Y;1610;2161;1;Ex;Attchd;Fin;3;Y;325624
169;60;RL;Gilbert;7;Gable;Gd;Ex;Y;840;1720;0;Gd;Attchd;Fin;2;Y;183500
170;20;RL;Timber;8;Hip;Gd;TA;Y;1707;1707;0;TA;Attchd;RFn;2;Y;228000
171;50;RM;OldTown;5;Gable;TA;TA;Y;854;1382;0;TA;Detchd;Unf;2;Y;128500
172;20;RL;NAmes;6;Hip;TA;Fa;Y;1656;1656;1;TA;Attchd;Fin;2;P;215000
173;160;RL;StoneBr;7;Gable;Gd;Gd;Y;1064;1767;1;Gd;Attchd;RFn;2;Y;239000
174;20;RL;NAmes;6;Gable;TA;TA;Y;1362;1362;1;TA;Attchd;Unf;2;Y;163000
175;20;RL;Timber;6;Gable;Gd;TA;Y;1651;1651;1;TA;Attchd;Fin;2;Y;184000
176;20;RL;Edwards;6;Gable;TA;TA;Y;2158;2158;1;Gd;Attchd;Unf;2;Y;243000
177;60;RL;ClearCr;6;Gable;Gd;TA;Y;1164;2060;0;TA;Attchd;Unf;2;Y;211000
178;50;RL;Sawyer;5;Gable;TA;Ex;Y;1252;1920;1;Gd;Attchd;Unf;2;Y;172500
179;20;RL;StoneBr;9;Hip;Ex;Ex;Y;2234;2234;1;Ex;Attchd;Fin;3;Y;501837
180;30;RM;OldTown;5;Gable;TA;TA;Y;968;968;0;TA;Detchd;Unf;2;N;100000
181;160;FV;Somerst;6;Gable;Gd;Ex;Y;769;1525;0;Gd;Detchd;Unf;2;Y;177000
182;70;RL;Crawfor;7;Gable;Fa;Gd;Y;901;1802;0;TA;Detchd;Unf;1;Y;200100
183;20;RL;Edwards;5;Hip;;Ex;Y;1340;1340;0;TA;Attchd;RFn;1;Y;120000
184;50;RM;OldTown;7;Gable;Gd;Ex;Y;1362;2082;0;Gd;Detchd;Unf;2;N;200000
185;50;RL;BrkSide;5;Gable;Fa;Gd;Y;936;1252;0;TA;Attchd;Unf;2;Y;127000
186;75;RM;OldTown;10;Gable;TA;Ex;Y;1518;3608;0;Ex;Detchd;Unf;3;Y;475000
187;80;RL;Mitchel;7;Gable;Gd;Ex;Y;1217;1217;1;Gd;Attchd;Unf;2;Y;173000
188;50;RL;OldTown;5;Gable;Fa;Ex;Y;808;1656;0;TA;Detchd;Unf;1;N;135000
189;90;RL;SawyerW;5;Gable;Gd;TA;Y;1224;1224;2;TA;Detchd;Unf;2;Y;153337
190;120;RL;StoneBr;8;Gable;Ex;Ex;Y;1593;1593;1;Ex;Attchd;Fin;2;Y;286000
191;70;RL;Crawfor;8;Hip;Gd;TA;Y;1549;2727;0;Gd;Detchd;Unf;2;Y;315000
192;60;RL;NAmes;7;Gable;TA;Gd;Y;725;1479;1;Gd;Attchd;Fin;2;Y;184000
193;20;RL;CollgCr;7;Gable;Gd;Ex;Y;1431;1431;1;Gd;Attchd;Fin;2;Y;192000
194;160;RM;Edwards;7;Gable;Gd;Ex;Y;970;1709;0;Gd;Detchd;Unf;2;Y;130000
195;20;RL;CollgCr;5;Hip;TA;TA;Y;864;864;0;TA;Detchd;Unf;1;Y;127000
196;160;RL;NPkVill;6;Gable;Gd;TA;Y;855;1456;0;TA;Attchd;Unf;2;Y;148500
197;20;RL;Somerst;7;Hip;Ex;Ex;Y;1726;1726;1;Ex;Attchd;Fin;3;Y;311872
198;75;RL;NAmes;8;Gable;TA;Gd;Y;1360;3112;1;Gd;Detchd;Unf;2;Y;235000
199;75;RM;OldTown;6;Gable;TA;Ex;Y;929;2229;0;TA;;;0;Y;104000
200;20;RL;NridgHt;8;Hip;Ex;Ex;Y;1713;1713;1;Ex;Attchd;Fin;3;Y;274900
201;20;RM;Edwards;4;Gable;Gd;Ex;Y;1121;1121;0;TA;Attchd;RFn;2;Y;140000
202;20;RL;Mitchel;6;Gable;TA;TA;Y;1279;1279;0;TA;Detchd;Unf;2;Y;171500
203;50;RL;OldTown;6;Gable;Fa;Gd;Y;865;1310;0;TA;Attchd;Unf;1;Y;112000
204;120;RM;CollgCr;6;Gable;Gd;Ex;Y;848;848;1;Gd;Attchd;RFn;2;Y;149000
205;50;RM;OldTown;5;Gable;TA;TA;Y;720;1284;0;TA;Detchd;Unf;1;Y;110000
206;20;RL;Gilbert;7;Gable;Gd;Ex;Y;1442;1442;0;TA;Attchd;RFn;2;Y;180500
207;20;RL;Sawyer;5;Gable;TA;TA;Y;1696;1696;0;TA;Attchd;RFn;1;Y;143900
208;20;RL;NAmes;4;Gable;TA;TA;Y;1100;1100;1;TA;Attchd;RFn;1;Y;141000
209;60;RL;SawyerW;7;Gable;Gd;Ex;Y;1180;2062;1;TA;Attchd;Fin;2;Y;277000
210;20;RL;NAmes;6;Hip;Gd;Ex;Y;1092;1092;1;TA;Attchd;RFn;2;Y;145000
211;30;RL;Edwards;5;Gable;TA;TA;N;864;864;1;TA;;;0;Y;98000
212;20;RL;Edwards;6;Gable;Gd;Ex;Y;1212;1212;0;Gd;Attchd;RFn;2;Y;186000
213;60;FV;Somerst;7;Gable;Gd;Ex;Y;932;1852;1;Gd;Attchd;RFn;2;Y;252678
214;20;RL;CollgCr;5;Gable;Gd;Ex;Y;990;990;0;TA;Attchd;Unf;2;Y;156000
215;60;RL;CollgCr;6;Gable;Gd;Ex;Y;689;1392;0;TA;Attchd;Fin;1;Y;161750
216;20;RL;NAmes;5;Gable;TA;TA;Y;1236;1236;0;Gd;Attchd;Unf;1;Y;134450
217;20;RL;CollgCr;7;Gable;Gd;Ex;Y;1436;1436;1;Gd;Attchd;Unf;2;Y;210000
218;70;RM;OldTown;4;Gable;TA;Fa;N;810;1328;0;TA;Detchd;Unf;1;Y;107000
219;50;RL;Crawfor;7;Gable;TA;Ex;Y;1137;1954;0;Gd;Attchd;Unf;2;Y;311500
220;120;RL;Blmngtn;7;Gable;Gd;Ex;Y;1248;1248;0;Gd;Attchd;Fin;2;Y;167240
221;20;RL;CollgCr;7;Gable;Gd;Ex;Y;1498;1498;0;Gd;Attchd;RFn;2;Y;204900
222;60;RL;Gilbert;6;Gable;Gd;Ex;Y;1010;2267;0;Gd;BuiltIn;RFn;2;Y;200000
223;60;RL;NWAmes;6;Gable;Gd;TA;Y;811;1552;1;TA;Attchd;RFn;2;Y;179900
224;20;RL;NAmes;4;Gable;TA;Gd;Y;864;864;0;TA;Detchd;Unf;2;Y;97000
225;20;RL;NridgHt;10;Hip;Ex;Ex;Y;2392;2392;0;Ex;Attchd;Fin;3;Y;386250
226;160;RM;BrDale;5;Gable;TA;TA;Y;630;1302;0;TA;Detchd;Unf;1;Y;112000
227;60;RL;NoRidge;7;Gable;Gd;Ex;Y;1214;2520;0;Gd;Attchd;RFn;3;Y;290000
228;160;RM;BrDale;6;Gable;TA;TA;Y;483;987;0;TA;Detchd;Unf;1;Y;106000
229;20;RL;Sawyer;5;Gable;TA;TA;Y;912;912;0;TA;Detchd;Unf;1;Y;125000
230;120;RL;Blmngtn;7;Gable;Gd;Ex;Y;1555;1555;0;Gd;Attchd;Fin;2;Y;192500
231;20;RL;NAmes;6;Hip;TA;TA;Y;1194;1194;1;TA;Attchd;RFn;1;Y;148000
232;60;RL;NoRidge;8;Gable;Gd;Ex;Y;1490;2794;1;Ex;Attchd;Fin;3;Y;403000
233;160;RM;BrDale;6;Gable;TA;TA;Y;483;987;0;TA;Attchd;Unf;1;Y;94500
234;20;RL;CollgCr;5;Gable;TA;TA;Y;894;894;1;TA;Attchd;Unf;1;Y;128200
235;60;RL;Gilbert;6;Gable;Gd;Ex;Y;860;1960;1;Gd;BuiltIn;Fin;2;Y;216500
236;160;RM;BrDale;6;Gable;TA;TA;Y;483;987;0;TA;Detchd;Unf;1;Y;89500
237;20;RL;CollgCr;7;Gable;Gd;Ex;Y;1414;1414;0;Gd;Attchd;RFn;2;Y;185500
238;60;RL;SawyerW;7;Gable;Gd;Ex;Y;1014;1744;0;Gd;Attchd;RFn;2;Y;194500
239;20;RL;NridgHt;8;Hip;Ex;Ex;Y;1694;1694;0;Gd;Attchd;Fin;3;Y;318000
240;50;RL;Edwards;6;Gable;TA;TA;Y;798;1487;0;TA;Detchd;Unf;1;Y;113000
241;20;FV;Somerst;8;Gable;Gd;Ex;Y;1566;1566;1;Gd;Attchd;RFn;2;Y;262500
242;30;RM;OldTown;5;Gable;TA;Gd;Y;866;866;0;Gd;;;0;Y;110500
243;50;RM;OldTown;5;Gable;TA;Gd;N;889;1440;0;TA;Attchd;Unf;1;Y;79000
244;160;RL;SawyerW;6;Gable;Gd;TA;Y;626;1217;0;TA;Attchd;RFn;1;Y;120000
